Emprestimo_pessoal,Emprestimo_consignado,Emprestimo_limite_especial,Emprestimo_educacao,Emprestimo_viagem,InvestimentoCDB,InvestimentoFundos,InvestimentoFundos_cambiais,InvestimentoFundos_commodities,InvestimentoLCI,InvestimentoLCA,InvestimentoPoupanca,InvestimentoFundosMultimercado,InvestimentoTesouroDireto,Idade,Renda,Regiao,Genero,seguroauto,segurovidaEmp,segurovidaPF,SeguroResidencial,AGE_RANGE,INCOME_RANGE,tipo_financiamiento
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.6707809368180857,-2.777036518755166,2,1.0,1,1,1,1,4,0,0
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.43891757397174075,-2.7711178212555945,0,0.0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33326657660397,-2.760893450834973,0,0.0,0,0,0,0,5,0,3
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.9930255778260393,-2.7578648625563793,2,0.0,0,0,0,0,0,0,3
1,1,1,1,1,1,1,0,0,1,0,1,1,0,-0.14642874823672875,-2.755737670365784,4,1.0,0,0,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.010084941310483,-2.74056780248939,0,0.0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5226471070705561,-2.6937362367453783,4,0.0,0,0,0,0,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9130059972837035,-2.6798024226795536,4,1.0,0,0,0,0,8,0,3
1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.5888180875963624,-2.679211322257694,4,0.0,0,0,0,1,3,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5556980301041974,-2.6776842059834327,0,0.0,1,1,1,1,1,0,3
0,0,0,0,0,1,0,0,1,0,0,1,0,0,-1.225872254665049,-2.6731451702060314,3,0.0,0,0,0,0,2,0,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.2419329486727695,-2.66510440936985,4,1.0,1,1,1,1,3,0,3
0,0,0,0,1,1,0,0,0,0,0,0,1,0,-1.0109298407363037,-2.6636696124673316,0,0.0,0,0,0,0,1,0,1
1,0,0,0,0,1,1,1,1,1,1,1,1,0,0.7134253974208333,-2.660969270843827,0,0.0,1,1,0,0,3,0,3
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.8290076388730832,-2.652230985865582,4,0.0,1,0,0,0,3,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,1,-0.7772306595543427,-2.648004810181312,3,0.0,1,1,1,1,0,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.2453049414589212,-2.644426152312745,3,0.0,0,0,0,1,7,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.6298033146657898,-2.632125878241386,4,1.0,1,1,1,1,0,0,3
0,0,0,0,0,0,0,1,0,0,1,0,0,1,-0.42186596105422414,-2.63013203625442,4,1.0,0,0,0,0,3,0,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,-0.4838815789094518,-2.6189601100599296,4,1.0,0,0,0,0,3,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2974352360320482,-2.6079664115414434,4,1.0,1,1,1,1,5,0,3
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.251726177095157,-2.589043504760967,2,0.0,0,0,0,0,2,0,3
